,:@computed_region_43an_4dx5,:@computed_region_9yqb_tdyd,_95_ci,county_code,county_name,data_comments,data_sources,data_years,denominator,denominator_note,indicator,indicator_number,location,mapping_distribution,measure_unit,percentage_rate,quartile,region_name,total_event_counts
0,,,,101,Western New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1537947,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,363.8,,Western New York,16787
1,,,,102,Finger Lakes,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1271131,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,273.7,,Finger Lakes,10438
2,,,,107,New York City,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,8270641,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,256.4,,New York City,63606
3,,,,103,Central New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1439971,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,289.2,,Central New York,12493
4,,,,104,New York-Penn,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,299236,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,370.8,,New York-Penn,3329
5,,,,105,Northeastern New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1497372,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,312.8,,Northeastern New York,14050
6,,,,106,Hudson Valley,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2294607,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,252.5,,Hudson Valley,17379
7,,,,108,Nassau-Suffolk,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2850679,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,305.4,,Nassau-Suffolk,26122
8,,,,999,New York State,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,19461584,Average annual population,"Cardiovascular disease mortality rate per 100,000",d1,,,Rate,281.2,,New York State,164204
9,,,,101,Western New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1537947,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,267.4,,Western New York,16787
10,,,,102,Finger Lakes,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1271131,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,217.2,,Finger Lakes,10438
11,,,,103,Central New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1439971,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,236.9,,Central New York,12493
12,,,,104,New York-Penn,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,299236,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,261.2,,New York-Penn,3329
13,,,,105,Northeastern New York,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,1497372,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,242.9,,Northeastern New York,14050
14,,,,106,Hudson Valley,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2294607,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,215.8,,Hudson Valley,17379
15,,,,107,New York City,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,8270641,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,249.3,,New York City,63606
16,,,,108,Nassau-Suffolk,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,2850679,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,242.9,,Nassau-Suffolk,26122
17,,,,999,New York State,,"2009-2011 Vital Statistics Data as of February, 2013",2009-2011,19461584,Average annual population,"Age-adjusted cardiovascular disease mortality rate per 100,000",d1a,,,Rate,242.3,,New York State,164204
